ReceptionTime,ts,tsys0,tsys1,tsys2,tsys3,tsys4,tsys5,tsys6,tsys7,tsys8,tsys9,tsys10,tsys11,tsys12,tsys13,tsys14,tsys15
1518042500.14901,1518042499.78286,20.409345,20.400049,20.476831,20.38123,20.43997,20.510938,20.437104,20.273879,20.413226,20.4588,20.301672,20.354048,20.485885,20.523787,20.402489,20.410942
1518042501.59451,1518042501.14324,20.411506,20.405248,20.475342,20.377922,20.438751,20.511818,20.437506,20.275775,20.414917,20.457246,20.301267,20.352227,20.485683,20.525002,20.408722,20.409118
1518042502.77317,1518042502.45683,20.4084,20.400589,20.475613,20.37988,20.442002,20.513442,20.439917,20.274692,20.411737,20.458124,20.302619,20.350203,20.484603,20.524259,20.40547,20.408442
1518042504.10326,1518042503.77096,20.40732,20.399643,20.474732,20.380623,20.437735,20.511479,20.438443,20.272863,20.414647,20.460152,20.300591,20.353171,20.487033,20.52615,20.404589,20.410942
1518042505.40388,1518042505.08525,20.411033,20.400589,20.476358,20.378192,20.435364,20.511885,20.439983,20.273811,20.413902,20.456908,20.301875,20.353239,20.48629,20.524935,20.404318,20.41155
1518042506.72791,1518042506.40331,20.407927,20.402007,20.472769,20.37907,20.440512,20.510193,20.440117,20.270696,20.415323,20.46076,20.301469,20.355735,20.483793,20.524732,20.402963,20.410739
1518042508.03542,1518042507.72011,20.409953,20.405518,20.476561,20.38042,20.437802,20.512698,20.44005,20.27117,20.414917,20.458192,20.300253,20.35452,20.487235,20.527839,20.404657,20.410469
1518042509.35664,1518042509.03652,20.410358,20.404708,20.479675,20.38096,20.435499,20.512901,20.44072,20.272389,20.416406,20.458733,20.303092,20.356814,20.48386,20.526893,20.407638,20.411009
1518042510.68016,1518042510.35587,20.408333,20.403222,20.474123,20.381365,20.44417,20.513104,20.437506,20.276926,20.415323,20.460287,20.301402,20.353981,20.487235,20.526015,20.406689,20.413509
1518042511.99322,1518042511.67657,20.409143,20.401939,20.47954,20.380285,20.439902,20.513307,20.439649,20.273202,20.41167,20.461301,20.300117,20.351552,20.485008,20.526961,20.40547,20.408915
1518042513.30882,1518042512.99043,20.410561,20.406868,20.476425,20.37961,20.441528,20.512833,20.438711,20.275911,20.414647,20.459949,20.301131,20.352969,20.488315,20.529324,20.406486,20.411955
1518042514.65243,1518042514.30722,20.408468,20.402952,20.477847,20.380218,20.440851,20.513916,20.440921,20.272051,20.412752,20.4588,20.304241,20.352429,20.48872,20.527298,20.407028,20.410807
