######################################################################
#
# LoggerIdentifier    : 0000000C
# Comment             : 
# PC Time             : 24 January 2018 , 21:31:27
# Logger Time         : 24 January 2018 , 21:31:37
# StartBatteryVoltage :      2817 mV
# EndBatteryVoltage   :      2777 mV
# TotalSampleCount    :    300668
# ResistanceOffset    :     11910.90559
# ResistanceScale     :     90895.96966
# TemperatureOffset   :         0.0010743547
# TemperatureLinear   :         0.0002113377
# TemperatureCubic    :         0.0000000922
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2017 12 15 14 32 00    18499    27459.843       26.902
2017 12 15 14 34 00    13352    21702.463       32.064
2017 12 15 14 36 00    11040    19294.700       34.700
2017 12 15 14 38 00     9532    17778.962       36.557
2017 12 15 14 40 00     8429    16696.443       37.996
2017 12 15 14 42 00     7586    15883.527       39.147
2017 12 15 14 44 00     6926    15255.603       40.083
2017 12 15 14 46 00     6407    14766.990       40.841
2017 12 15 14 48 00     5994    14381.372       41.460
2017 12 15 14 50 00     5665    14076.194       41.963
2017 12 15 14 52 00     5403    13834.427       42.371
2017 12 15 14 54 00     5192    13640.530       42.703
2017 12 15 14 56 00     5024    13486.660       42.971
2017 12 15 14 58 00     4891    13365.167       43.185
2017 12 15 15 00 00     4786    13269.451       43.355
2017 12 15 15 02 00     4705    13195.733       43.487
2017 12 15 15 04 00     4641    13137.560       43.591
2017 12 15 15 06 00     4594    13094.881       43.669
2017 12 15 15 08 00     4561    13064.936       43.723
2017 12 15 15 10 00     4537    13043.168       43.762
2017 12 15 15 12 00     4524    13031.382       43.784
2017 12 15 15 14 00     4518    13025.942       43.794
2017 12 15 15 16 00     4520    13027.755       43.790
2017 12 15 15 18 00     4526    13033.195       43.781
2017 12 15 15 20 00     4537    13043.168       43.762
2017 12 15 15 22 00     4553    13057.679       43.736
2017 12 15 15 24 00     4572    13074.916       43.705
2017 12 15 15 26 00     4594    13094.881       43.669
2017 12 15 15 28 00     4617    13115.762       43.631
2017 12 15 15 30 00     4643    13139.377       43.588
2017 12 15 15 32 00     4671    13164.821       43.542
2017 12 15 15 34 00     5246    13690.084       42.618
2017 12 15 15 36 00     5244    13688.248       42.621
2017 12 15 15 38 00     5256    13699.266       42.602
2017 12 15 15 40 00     5280    13721.310       42.564
2017 12 15 15 42 00     5296    13736.010       42.539
2017 12 15 15 44 00     5305    13744.281       42.525
2017 12 15 15 46 00     5310    13748.877       42.517
2017 12 15 15 48 00     5312    13750.715       42.514
2017 12 15 15 50 00     5316    13754.392       42.507
2017 12 15 15 52 00     5322    13759.908       42.498
2017 12 15 15 54 00     5330    13767.263       42.485
2017 12 15 15 56 00     5341    13777.378       42.468
2017 12 15 15 58 00     5354    13789.335       42.448
2017 12 15 16 00 00     5369    13803.134       42.424
2017 12 15 16 02 00     5387    13819.699       42.396
2017 12 15 16 04 00     5406    13837.189       42.366
2017 12 15 16 06 00     5426    13855.606       42.335
2017 12 15 16 08 00     5448    13875.873       42.300
2017 12 15 16 10 00     5471    13897.069       42.264
2017 12 15 16 12 00     5493    13917.351       42.230
2017 12 15 16 14 00     5518    13940.409       42.191
2017 12 15 16 16 00     5543    13963.477       42.152
2017 12 15 16 18 00     5568    13986.555       42.113
2017 12 15 16 20 00     5592    14008.719       42.076
2017 12 15 16 22 00     5617    14031.817       42.037
2017 12 15 16 24 00     5643    14055.850       41.997
2017 12 15 16 26 00     5669    14079.894       41.957
2017 12 15 16 28 00     5694    14103.023       41.919
2017 12 15 16 30 00     5720    14127.089       41.878
2017 12 15 16 32 00     5745    14150.239       41.840
2017 12 15 16 34 00     5771    14174.326       41.800
2017 12 15 16 36 00     5796    14197.497       41.762
2017 12 15 16 38 00     5821    14220.678       41.723
2017 12 15 16 40 00     5846    14243.869       41.685
2017 12 15 16 42 00     5870    14266.143       41.649
2017 12 15 16 44 00     5895    14289.354       41.610
